state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha,
1,25,RSN126_GAZLI_GAZ000,-0.003040074,148.9737779,152.0221768,-0.001669976,-0.111679553,910,0,-2,-0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.003813349,148.9737779,152.0221768,-0.002001054,-0.110706202,910,0,-1.333333333,-0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.004783314,148.9737779,152.0221768,-0.001972023,-0.120578039,910,0,-0.666666667,-0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.006,148.9737779,152.0221768,-0.001944169,-0.113191643,910,0,0,-0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.007526163,148.9737779,152.0221768,-0.115880895,-0.109328883,910,0,0.666666667,-0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.00944052,148.9737779,152.0221768,-0.002000864,-0.097900247,910,0,1.333333333,-0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.011841815,148.9737779,152.0221768,-0.002004138,-0.100121287,910,0,2,-0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.003040074,170,152.0221768,-0.001669976,-0.111679553,954,0,-2,0,
1,25,RSN126_GAZLI_GAZ000,-0.003813349,170,152.0221768,-0.002001054,-0.110706202,1098,0,-1.333333333,0,
1,25,RSN126_GAZLI_GAZ000,-0.004783314,170,152.0221768,-0.001972023,-0.120578039,1099,0,-0.666666667,0,
1,25,RSN126_GAZLI_GAZ000,-0.006,170,152.0221768,-0.001944169,-0.113191643,1100,0,0,0,
1,25,RSN126_GAZLI_GAZ000,-0.007526163,170,152.0221768,-0.115880895,-0.109328883,1104,0,0.666666667,0,
1,25,RSN126_GAZLI_GAZ000,-0.00944052,170,152.0221768,-0.002000864,-0.097900247,1104,0,1.333333333,0,
1,25,RSN126_GAZLI_GAZ000,-0.011841815,170,152.0221768,-0.002004138,-0.100121287,1109,0,2,0,
1,25,RSN126_GAZLI_GAZ000,-0.003040074,193.9938719,152.0221768,-0.001669976,-0.111679553,954,0,-2,0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.003813349,193.9938719,152.0221768,-0.002001054,-0.110706202,1098,0,-1.333333333,0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.004783314,193.9938719,152.0221768,-0.001972023,-0.120578039,1099,0,-0.666666667,0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.006,193.9938719,152.0221768,-0.001944169,-0.113191643,1100,0,0,0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.007526163,193.9938719,152.0221768,-0.115880895,-0.109328883,1104,0,0.666666667,0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.00944052,193.9938719,152.0221768,-0.002000864,-0.097900247,1104,0,1.333333333,0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.011841815,193.9938719,152.0221768,-0.002004138,-0.100121287,1109,0,2,0.666666667,
1,25,RSN126_GAZLI_GAZ000,-0.003040074,221.3742491,152.0221768,-0.001669976,-0.111679553,954,0,-2,1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.003813349,221.3742491,152.0221768,-0.002001054,-0.110706202,1098,0,-1.333333333,1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.004783314,221.3742491,152.0221768,-0.001972023,-0.120578039,1099,0,-0.666666667,1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.006,221.3742491,152.0221768,-0.001944169,-0.113191643,1100,0,0,1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.007526163,221.3742491,152.0221768,-0.115880895,-0.109328883,1104,0,0.666666667,1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.00944052,221.3742491,152.0221768,-0.002000864,-0.097900247,1104,0,1.333333333,1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.011841815,221.3742491,152.0221768,-0.002004138,-0.100121287,1109,0,2,1.333333333,
1,25,RSN126_GAZLI_GAZ000,-0.003040074,252.6191044,152.0221768,-0.001669976,-0.111679553,954,0,-2,2,
1,25,RSN126_GAZLI_GAZ000,-0.003813349,252.6191044,152.0221768,-0.002001054,-0.110706202,1098,0,-1.333333333,2,
1,25,RSN126_GAZLI_GAZ000,-0.004783314,252.6191044,152.0221768,-0.001972023,-0.120578039,1099,0,-0.666666667,2,
1,25,RSN126_GAZLI_GAZ000,-0.006,252.6191044,152.0221768,-0.001944169,-0.113191643,1100,0,0,2,
1,25,RSN126_GAZLI_GAZ000,-0.007526163,252.6191044,152.0221768,-0.115880895,-0.109328883,1104,0,0.666666667,2,
1,25,RSN126_GAZLI_GAZ000,-0.00944052,252.6191044,152.0221768,-0.002000864,-0.097900247,1104,0,1.333333333,2,
1,25,RSN126_GAZLI_GAZ000,-0.011841815,252.6191044,152.0221768,-0.002004138,-0.100121287,1109,0,2,2,
1,20,RSN126_GAZLI_GAZ000,-0.003040074,114.4014823,146.9562763,-0.001619205,-0.103086807,658,0,-2,-2,
1,20,RSN126_GAZLI_GAZ000,-0.003813349,114.4014823,150.8663749,-0.001833198,-0.103034584,658,0,-1.333333333,-2,
1,20,RSN126_GAZLI_GAZ000,-0.004783314,114.4014823,152.0904695,-0.001798128,-0.103359871,658,0,-0.666666667,-2,
